 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,5203228,6,4,611,164,517,0,101.8333333,204.3050823,152,0,41.0,74.05403433,148.9460004,1.921883877,578136.4444,1693557.819,5093953,3,5203228,1040645.6,2300616.544,5156061,3,86330,28776.66667,31660.06509,62694,4,0,0,0,0,132,92,1.153130326,0.768753551,0,517,70.45454545,154.756818,23949.67273,0,0,0,1,0,0,0,0,0,77.5,101.8333333,41.0,132,0,0,0,0,0,0,6,611,4,164,8192,946,5,20,109272.0,0.0,109272,109272,5093953.0,0.0,5093953,5093953,BENIGN
443,61407757,18,15,3932,5459,2158,0,218.4444444,591.6388229,1448,0,363.9333333,575.8858352,152.9285624,0.537391392,1918992.406,3970429.742,10100000,16,61400000,3612221.0,4968751.703,10200000,49,61300000,4378965.214,5177107.51,10200000,191,0,0,0,0,584,488,0.293122577,0.244268814,0,2158,276.2058824,573.279496,328649.3806,0,0,0,1,0,0,0,0,0,284.5757576,218.4444444,363.9333333,584,0,0,0,0,0,0,18,3932,15,5459,29200,143,4,32,181687.0,194558.0924,578827,102105,10100000.0,111391.2998,10100000,9857949,BENIGN
80,5085325,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.786577062,1695108.333,2935246.479,5084439,98,5085325,2542662.5,3594614.799,5084439,886,0,0.0,0.0,0,0,0,0,0,0,104,40,0.589932797,0.196644266,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack
53,23676,1,1,95,223,95,95,95.0,0.0,223,223,223.0,0.0,13431.32286,84.47372867,23676.0,0.0,23676,23676,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.23686434,42.23686434,95,223,137.6666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,206.5,95.0,223.0,20,0,0,0,0,0,0,1,95,1,223,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24189,2,2,66,118,33,33,33.0,0.0,59,59,59.0,0.0,7606.763405,165.3644218,8063.0,13961.19561,24184,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,82.68221092,82.68221092,33,59,43.4,14.2407865,202.8,0,0,0,0,0,0,0,0,1,54.25,33.0,59.0,64,0,0,0,0,0,0,2,66,2,118,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5647320,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.708300574,1882440.0,3259706.646,5646425,119,5647320,2823660.0,3991992.546,5646425,895,0,0.0,0.0,0,0,0,0,0,0,104,40,0.531225431,0.177075144,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack
80,5778329,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.69224165,1926109.667,3335362.915,5777455,93,5778329,2889164.5,4084659.597,5777455,874,0,0.0,0.0,0,0,0,0,0,0,104,40,0.519181237,0.173060412,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack
53,33542,2,2,66,130,33,33,33.0,0.0,65,65,65.0,0.0,5843.42019,119.2534733,11180.66667,19358.55453,33534,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,59.62673663,59.62673663,33,65,45.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,57.25,33.0,65.0,64,0,0,0,0,0,0,2,66,2,130,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,181,2,2,62,254,31,31,31.0,0.0,127,127,127.0,0.0,1745856.354,22099.44751,60.33333333,97.57219549,173,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,80,80,11049.72376,11049.72376,31,127,69.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,86.75,31.0,127.0,80,0,0,0,0,0,0,2,62,2,254,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,116,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,103448.2759,17241.37931,116.0,0.0,116,116,116,116.0,0.0,116,116,0,0.0,0.0,0,0,0,0,0,0,40,0,17241.37931,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,252,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
